timestamp,link,utilization_percent,weight
2025-11-20 15:31:52,s1-s2,1.29,498.9329372406006
2025-11-20 15:31:52,s2-s1,1.29,498.9329372406006
2025-11-20 15:31:52,s2-s3,1.30,498.93297386169434
2025-11-20 15:31:52,s3-s2,1.30,498.93297386169434
2025-11-20 15:31:52,s1-s3,1.30,498.933005065918
2025-11-20 15:31:52,s3-s1,1.30,498.933005065918
2025-11-20 15:31:55,s1-s2,1.31,498.93308326721194
2025-11-20 15:31:55,s2-s1,1.31,498.93308326721194
2025-11-20 15:31:55,s2-s3,1.31,498.9330837249756
2025-11-20 15:31:55,s3-s2,1.32,498.9330837249756
2025-11-20 15:31:55,s1-s3,1.31,498.93305717468263
2025-11-20 15:31:55,s3-s1,1.32,498.93305717468263
2025-11-20 15:31:58,s1-s2,1.26,498.93260688781737
2025-11-20 15:31:58,s2-s1,1.30,498.93260688781737
2025-11-20 15:31:58,s2-s3,1.29,498.9328939056397
2025-11-20 15:31:58,s3-s2,1.26,498.9328939056397
2025-11-20 15:31:58,s1-s3,1.27,498.93270957946777
2025-11-20 15:31:58,s3-s1,1.27,498.93270957946777
2025-11-20 15:32:02,s1-s2,1.30,498.9329981994629
2025-11-20 15:32:02,s2-s1,1.30,498.9329981994629
2025-11-20 15:32:02,s2-s3,1.30,498.9330041503906
2025-11-20 15:32:02,s3-s2,1.30,498.9330041503906
2025-11-20 15:32:02,s1-s3,1.30,498.9329529571533
2025-11-20 15:32:02,s3-s1,1.30,498.9329529571533
2025-11-20 15:32:05,s1-s2,1.30,498.9330033111572
2025-11-20 15:32:05,s2-s1,1.30,498.9330033111572
2025-11-20 15:32:05,s2-s3,1.30,498.9329908752441
2025-11-20 15:32:05,s3-s2,1.31,498.9329908752441
2025-11-20 15:32:05,s1-s3,1.29,498.9329217529297
2025-11-20 15:32:05,s3-s1,1.31,498.9329217529297
2025-11-20 15:32:08,s1-s2,1.29,498.9328897857666
2025-11-20 15:32:08,s2-s1,1.30,498.9328897857666
2025-11-20 15:32:08,s2-s3,1.29,498.9329251098633
2025-11-20 15:32:08,s3-s2,1.29,498.9329251098633
2025-11-20 15:32:08,s1-s3,1.30,498.93300201416014
2025-11-20 15:32:08,s3-s1,1.30,498.93300201416014
2025-11-20 15:32:12,s1-s2,1.29,498.9329344940186
2025-11-20 15:32:12,s2-s1,1.29,498.9329344940186
2025-11-20 15:32:12,s2-s3,1.31,498.93314582824706
2025-11-20 15:32:12,s3-s2,1.31,498.93314582824706
2025-11-20 15:32:12,s1-s3,1.30,498.9330407714844
2025-11-20 15:32:12,s3-s1,1.30,498.9330407714844
2025-11-20 15:32:15,s1-s2,1.30,498.93298332214357
2025-11-20 15:32:15,s2-s1,1.30,498.93298332214357
2025-11-20 15:32:15,s2-s3,1.31,498.9330679321289
2025-11-20 15:32:15,s3-s2,1.31,498.9330679321289
2025-11-20 15:32:15,s1-s3,1.31,498.93307624816896
2025-11-20 15:32:15,s3-s1,1.31,498.93307624816896
2025-11-20 15:32:19,s1-s2,1.31,498.93306732177734
2025-11-20 15:32:19,s2-s1,1.30,498.93306732177734
2025-11-20 15:32:19,s2-s3,1.31,498.9331137084961
2025-11-20 15:32:19,s3-s2,1.31,498.9331137084961
2025-11-20 15:32:19,s1-s3,1.30,498.93301315307616
2025-11-20 15:32:19,s3-s1,1.30,498.93301315307616
2025-11-20 15:32:22,s1-s2,1.31,498.9331300354004
2025-11-20 15:32:22,s2-s1,1.31,498.9331300354004
2025-11-20 15:32:22,s2-s3,1.32,498.933200302124
2025-11-20 15:32:22,s3-s2,1.32,498.933200302124
2025-11-20 15:32:22,s1-s3,1.32,498.9331764221191
2025-11-20 15:32:22,s3-s1,1.32,498.9331764221191
2025-11-20 15:32:26,s1-s2,1.30,498.93296325683593
2025-11-20 15:32:26,s2-s1,1.30,498.93296325683593
2025-11-20 15:32:26,s2-s3,1.29,498.93289405822753
2025-11-20 15:32:26,s3-s2,1.29,498.93289405822753
2025-11-20 15:32:26,s1-s3,1.29,498.93294357299806
2025-11-20 15:32:26,s3-s1,1.29,498.93294357299806
2025-11-20 15:32:29,s1-s2,1.29,498.93285621643065
2025-11-20 15:32:29,s2-s1,1.30,498.93285621643065
2025-11-20 15:32:29,s2-s3,1.30,498.9330075836182
2025-11-20 15:32:29,s3-s2,1.28,498.9330075836182
2025-11-20 15:32:29,s1-s3,1.28,498.932822265625
2025-11-20 15:32:29,s3-s1,1.28,498.932822265625
2025-11-20 15:32:32,s1-s2,1.29,498.93292755126953
2025-11-20 15:32:32,s2-s1,1.29,498.93292755126953
2025-11-20 15:32:32,s2-s3,1.31,498.9330958557129
2025-11-20 15:32:32,s3-s2,1.31,498.9330958557129
2025-11-20 15:32:32,s1-s3,1.31,498.9330532836914
2025-11-20 15:32:32,s3-s1,1.31,498.9330532836914
2025-11-20 15:32:36,s1-s2,1.30,498.93296241760254
2025-11-20 15:32:36,s2-s1,1.30,498.93296241760254
2025-11-20 15:32:36,s2-s3,1.30,498.9330295562744
2025-11-20 15:32:36,s3-s2,1.33,498.9330295562744
2025-11-20 15:32:36,s1-s3,1.31,498.9330702209473
2025-11-20 15:32:36,s3-s1,1.33,498.9330702209473
2025-11-20 15:32:39,s1-s2,1.28,498.93284919738767
2025-11-20 15:32:39,s2-s1,1.27,498.93284919738767
2025-11-20 15:32:39,s2-s3,1.28,498.9328009033203
2025-11-20 15:32:39,s3-s2,1.26,498.9328009033203
2025-11-20 15:32:39,s1-s3,1.27,498.9326912689209
2025-11-20 15:32:39,s3-s1,1.27,498.9326912689209
2025-11-20 15:32:42,s1-s2,1.28,498.93275871276853
2025-11-20 15:32:42,s2-s1,1.28,498.93275871276853
2025-11-20 15:32:42,s2-s3,1.27,498.93270210266115
2025-11-20 15:32:42,s3-s2,1.27,498.93270210266115
2025-11-20 15:32:42,s1-s3,1.27,498.93271354675295
2025-11-20 15:32:42,s3-s1,1.27,498.93271354675295
2025-11-20 15:32:46,s1-s2,1.26,498.9325708770752
2025-11-20 15:32:46,s2-s1,1.26,498.9325708770752
2025-11-20 15:32:46,s2-s3,1.27,498.9327362060547
2025-11-20 15:32:46,s3-s2,1.27,498.9327362060547
2025-11-20 15:32:46,s1-s3,1.28,498.9327603912354
2025-11-20 15:32:46,s3-s1,1.28,498.9327603912354
